event1(949, 0).
event2(650, 2).
event1(447, 1).
event2(657, 2).
event1(1002, 1).
event2(664, 2).
event1(533, 1).
event2(673, 2).
event1(1168, 0).
event2(674, 2).
event1(542, 0).
event2(684, 2).
event1(869, 0).
event2(688, 2).
event1(671, 1).
event2(693, 2).
event1(102, 1).
event2(696, 2).
event1(1012, 1).
event2(713, 2).
event1(833, 1).
event2(714, 2).
event1(618, 1).
event2(716, 2).
event1(124, 1).
event2(732, 2).
event1(77, 1).
event2(774, 2).
event1(34, 0).
event2(801, 2).
event1(780, 1).
event2(807, 2).
event1(290, 1).
event2(813, 2).
event1(450, 1).
event2(814, 2).
event1(927, 0).
event2(830, 2).
event1(68, 0).
event2(844, 2).
event1(492, 1).
event2(854, 2).
event1(3, 1).
event2(862, 2).
event1(406, 1).
event2(863, 2).
event1(491, 1).
event2(866, 2).
event1(232, 0).
event2(873, 2).
event1(21, 0).
event2(893, 2).
event1(1195, 0).
event2(907, 2).
event1(78, 1).
event2(917, 2).
event1(56, 0).
event2(931, 2).
event1(464, 0).
event2(938, 2).
event1(984, 0).
event2(946, 2).
event1(470, 1).
event2(989, 2).
event1(270, 1).
event2(1010, 2).
event1(192, 0).
event2(1011, 2).
event1(603, 0).
event2(1033, 2).
event1(1093, 0).
event2(1034, 2).
event1(455, 1).
event2(1047, 2).
event1(1174, 1).
event2(1048, 2).
event1(205, 1).
event2(1053, 2).
event1(121, 0).
event2(1058, 2).
event1(489, 0).
event2(1074, 2).
event1(982, 1).
event2(1096, 2).
event1(454, 1).
event2(1124, 2).
event1(224, 1).
event2(1129, 2).
event1(860, 0).
event2(1134, 2).
event1(345, 1).
event2(1140, 2).
event1(508, 1).
event2(1143, 2).
event1(251, 1).
event2(1165, 2).
event1(633, 0).
event2(1175, 2).
event1(738, 1).
event2(1183, 2).
event1(81, 0).
event2(1188, 2).
event1(997, 0).
event2(1199, 2).
event1(201, 1).
event2(7, 3).
event1(859, 0).
event2(10, 3).
event1(978, 1).
event2(12, 3).
event1(959, 1).
event2(27, 3).
event1(408, 1).
event2(30, 3).
event1(711, 1).
event2(44, 3).
event1(1155, 1).
event2(49, 3).
event1(891, 1).
event2(50, 3).
event1(310, 1).
event2(74, 3).
event1(114, 0).
event2(86, 3).
event1(72, 1).
event2(98, 3).
event1(51, 0).
event2(107, 3).
event1(920, 1).
event2(111, 3).
event1(366, 1).
event2(130, 3).
event1(108, 0).
event2(135, 3).
event1(524, 0).
event2(136, 3).
event1(67, 1).
event2(149, 3).
event1(712, 0).
event2(157, 3).
event1(1060, 1).
event2(179, 3).
event1(835, 1).
event2(181, 3).
event1(941, 1).
event2(198, 3).
event1(1197, 1).
event2(203, 3).
event1(1132, 1).
event2(207, 3).
event1(6, 1).
event2(215, 3).
event1(1085, 1).
event2(228, 3).
event1(1017, 1).
event2(235, 3).
event1(519, 0).
event2(242, 3).
event1(667, 0).
event2(250, 3).
event1(871, 1).
event2(254, 3).
event1(128, 1).
event2(255, 3).
event1(743, 0).
event2(279, 3).
event1(69, 0).
event2(281, 3).
event1(63, 0).
event2(291, 3).
event1(702, 0).
event2(298, 3).
event1(747, 1).
event2(321, 3).
event1(234, 0).
event2(327, 3).
event1(612, 0).
event2(330, 3).
event1(276, 1).
event2(341, 3).
event1(668, 0).
event2(356, 3).
event1(458, 0).
event2(361, 3).
event1(1015, 0).
event2(392, 3).
event1(951, 1).
event2(405, 3).
event1(609, 1).
event2(425, 3).
event1(1107, 0).
event2(433, 3).
event1(1029, 0).
event2(452, 3).
event1(698, 1).
event2(459, 3).
event1(88, 0).
event2(479, 3).
event1(809, 1).
event2(486, 3).
event1(105, 1).
event2(490, 3).
event1(919, 1).
event2(495, 3).
event1(790, 0).
event2(500, 3).
event1(394, 1).
event2(509, 3).
event1(326, 0).
event2(540, 3).
event1(169, 0).
event2(546, 3).
event1(573, 1).
event2(549, 3).
event1(538, 1).
event2(557, 3).
event1(943, 0).
event2(561, 3).
event1(453, 0).
event2(574, 3).
event1(216, 0).
event2(581, 3).
event1(37, 0).
event2(613, 3).
event1(838, 1).
event2(629, 3).
event1(211, 1).
event2(643, 3).
event1(1052, 1).
event2(645, 3).
event1(1065, 1).
event2(659, 3).
event1(40, 1).
event2(670, 3).
event1(905, 1).
event2(675, 3).
event1(849, 0).
event2(695, 3).
event1(870, 1).
event2(715, 3).
event1(638, 1).
event2(731, 3).
event1(210, 0).
event2(752, 3).
event1(315, 1).
event2(760, 3).
event1(462, 0).
event2(767, 3).
event1(382, 1).
event2(789, 3).
event1(95, 0).
event2(808, 3).
event1(1118, 1).
event2(811, 3).
event1(507, 1).
event2(840, 3).
event1(577, 0).
event2(843, 3).
event1(527, 0).
event2(856, 3).
event1(1040, 0).
event2(857, 3).
event1(818, 0).
event2(861, 3).
event1(1000, 0).
event2(867, 3).
event1(440, 0).
event2(874, 3).
event1(666, 0).
event2(875, 3).
event1(118, 0).
event2(878, 3).
event1(208, 1).
event2(890, 3).
event1(596, 0).
event2(895, 3).
event1(1095, 1).
event2(909, 3).
event1(1018, 0).
event2(953, 3).
event1(303, 0).
event2(966, 3).
event1(466, 1).
event2(975, 3).
event1(484, 1).
event2(983, 3).
event1(229, 0).
event2(992, 3).
event1(293, 0).
event2(998, 3).
event1(473, 0).
event2(1007, 3).
event1(1090, 0).
event2(1021, 3).
event1(70, 1).
event2(1035, 3).
event1(669, 0).
event2(1055, 3).
event1(556, 1).
event2(1068, 3).
event1(961, 1).
event2(1077, 3).
event1(637, 1).
event2(1097, 3).
event1(691, 1).
event2(1108, 3).
event1(249, 0).
event2(1119, 3).
event1(134, 1).
event2(1121, 3).
event1(358, 1).
event2(1130, 3).
event1(355, 1).
event2(1144, 3).
event1(765, 1).
event2(1145, 3).
event1(903, 0).
event2(1150, 3).
event1(260, 0).
event2(1151, 3).
event1(397, 1).
event2(1158, 3).
event1(351, 1).
event2(1178, 3).
event1(689, 0).
event2(1185, 3).
