happensAt(325, 0).
happensAt(1771, 505).
happensAt(209, 506).
happensAt(1080, 507).
happensAt(69, 508).
happensAt(1995, 509).
happensAt(1090, 510).
happensAt(1952, 511).
happensAt(326, 512).
happensAt(1727, 513).
happensAt(178, 514).
happensAt(408, 515).
happensAt(406, 516).
happensAt(1046, 517).
happensAt(1682, 518).
happensAt(1048, 519).
happensAt(1246, 520).
happensAt(72, 521).
happensAt(860, 522).
happensAt(526, 523).
happensAt(1816, 524).
happensAt(1390, 525).
happensAt(984, 526).
happensAt(698, 527).
happensAt(59, 528).
happensAt(1627, 529).
happensAt(161, 530).
happensAt(199, 531).
happensAt(1989, 532).
happensAt(1701, 533).
happensAt(1230, 534).
happensAt(3, 535).
happensAt(1910, 536).
happensAt(77, 537).
happensAt(573, 538).
happensAt(1118, 539).
happensAt(1445, 540).
happensAt(1301, 541).
happensAt(432, 542).
happensAt(780, 543).
happensAt(633, 544).
happensAt(121, 545).
happensAt(375, 546).
happensAt(187, 547).
happensAt(1775, 548).
happensAt(76, 549).
happensAt(1711, 550).
happensAt(825, 551).
happensAt(105, 552).
happensAt(134, 553).
happensAt(959, 554).
happensAt(113, 555).
happensAt(190, 556).
happensAt(1452, 557).
happensAt(530, 558).
happensAt(1786, 559).
happensAt(82, 560).
happensAt(152, 561).
happensAt(738, 562).
happensAt(1819, 563).
happensAt(1031, 564).
happensAt(1334, 565).
happensAt(989, 566).
happensAt(1085, 567).
happensAt(508, 568).
happensAt(443, 569).
happensAt(358, 570).
happensAt(366, 571).
happensAt(1034, 572).
happensAt(709, 573).
happensAt(489, 574).
happensAt(1699, 575).
happensAt(1277, 576).
happensAt(1926, 577).
happensAt(982, 578).
happensAt(1192, 579).
happensAt(619, 580).
happensAt(542, 581).
happensAt(310, 582).
happensAt(862, 583).
happensAt(143, 584).
happensAt(381, 585).
happensAt(779, 586).
happensAt(1988, 587).
happensAt(260, 588).
happensAt(1528, 589).
happensAt(1168, 590).
happensAt(809, 591).
happensAt(588, 592).
happensAt(1354, 593).
happensAt(357, 594).
happensAt(669, 595).
happensAt(1987, 596).
happensAt(1096, 597).
happensAt(568, 598).
happensAt(1877, 599).
happensAt(1454, 600).
happensAt(1956, 601).
happensAt(907, 602).
happensAt(993, 603).
happensAt(650, 604).
happensAt(891, 605).
happensAt(1181, 606).
happensAt(1175, 607).
happensAt(790, 608).
