event1(1044, 1).
event2(1614, 2).
event1(710, 1).
event2(486, 3).
event1(1527, 1).
event2(688, 2).
event1(1403, 0).
event2(1264, 2).
event1(1017, 1).
event2(1924, 3).
event1(458, 0).
event2(493, 2).
event1(1712, 0).
event2(1599, 3).
event1(229, 0).
event2(347, 2).
event1(451, 0).
event2(1805, 3).
event1(1709, 0).
event2(1165, 2).
event1(394, 1).
event2(931, 2).
event1(1078, 0).
event2(695, 3).
event1(77, 1).
event2(1631, 3).
event1(698, 1).
event2(189, 2).
event1(1678, 0).
event2(907, 2).
event1(1936, 1).
event2(873, 2).
event1(1472, 1).
event2(1583, 3).
event1(678, 1).
event2(1727, 2).
event1(1252, 1).
event2(1130, 3).
event1(639, 0).
event2(561, 3).
event1(633, 0).
event2(433, 3).
event1(689, 0).
event2(1981, 3).
event1(920, 1).
event2(1829, 3).
event1(174, 1).
event2(693, 2).
event1(119, 0).
event2(1698, 3).
event1(1363, 0).
event2(250, 3).
event1(276, 1).
event2(1469, 3).
event1(475, 1).
event2(1134, 2).
event1(1532, 0).
event2(1841, 2).
event1(211, 1).
event2(659, 3).
event1(1211, 1).
event2(1317, 3).
event1(1051, 1).
event2(843, 3).
event1(1012, 1).
event2(203, 3).
event1(473, 0).
event2(1374, 2).
event1(70, 1).
event2(1874, 2).
event1(1571, 0).
event2(1661, 3).
event1(1703, 1).
event2(1119, 3).
event1(747, 1).
event2(714, 2).
event1(216, 0).
event2(558, 2).
event1(464, 0).
event2(1581, 3).
event1(1367, 0).
event2(1896, 2).
event1(210, 0).
event2(657, 2).
event1(1696, 1).
event2(136, 3).
event1(603, 0).
event2(1432, 3).
event1(648, 1).
event2(252, 2).
event1(656, 0).
event2(50, 3).
event1(1359, 0).
event2(472, 2).
event1(519, 0).
event2(7, 3).
event1(919, 1).
event2(143, 2).
event1(359, 0).
event2(1753, 2).
event1(1080, 1).
event2(1559, 3).
event1(1115, 1).
event2(966, 3).
event1(1049, 0).
event2(862, 2).
event1(573, 1).
event2(1595, 2).
event1(310, 1).
event2(570, 2).
event1(553, 1).
event2(584, 2).
event1(849, 0).
event2(1558, 2).
event1(283, 0).
event2(989, 2).
event1(357, 1).
event2(1972, 2).
event1(8, 1).
event2(551, 2).
event1(1839, 1).
event2(1644, 3).
event1(484, 1).
event2(1923, 2).
event1(177, 1).
event2(27, 3).
event1(524, 0).
event2(1533, 3).
event1(1700, 1).
event2(1941, 3).
event1(952, 0).
event2(298, 3).
event1(1375, 1).
event2(1823, 2).
event1(1876, 0).
event2(1861, 2).
event1(397, 1).
event2(28, 2).
event1(1445, 1).
event2(1735, 2).
event1(1807, 1).
event2(1634, 3).
event1(577, 0).
event2(530, 2).
event1(1699, 1).
event2(563, 2).
event1(552, 1).
event2(983, 3).
event1(993, 1).
event2(457, 2).
event1(355, 1).
event2(44, 3).
event1(961, 1).
event2(495, 3).
event1(1268, 0).
event2(190, 2).
event1(1181, 1).
event2(130, 3).
event1(56, 0).
event2(1774, 2).
event1(231, 1).
event2(122, 2).
event1(454, 1).
event2(325, 2).
event1(1155, 1).
event2(917, 2).
event1(1647, 1).
event2(215, 3).
event1(872, 0).
event2(1438, 2).
event1(443, 1).
event2(1594, 3).
event1(40, 1).
event2(1270, 2).
event1(669, 0).
event2(1033, 2).
event1(88, 0).
event2(946, 2).
event1(1897, 0).
event2(425, 3).
event1(37, 0).
event2(760, 3).
event1(1238, 1).
event2(1998, 2).
event1(1331, 1).
event2(1320, 3).
event1(1942, 1).
event2(1348, 3).
event1(1995, 0).
event2(321, 3).
event1(169, 0).
event2(1920, 2).
event1(1797, 0).
event2(1199, 2).
event1(1003, 1).
event2(830, 2).
event1(78, 1).
event2(410, 2).
event1(427, 0).
event2(1563, 2).
event1(596, 0).
event2(477, 2).
event1(1926, 0).
event2(664, 2).
event1(733, 0).
event2(813, 2).
event1(1816, 1).
event2(1150, 3).
event1(1423, 0).
event2(1539, 2).
event1(984, 0).
event2(1301, 2).
event1(249, 0).
event2(1428, 3).
event1(1304, 0).
event2(1947, 2).
event1(667, 0).
event2(49, 3).
event1(572, 1).
event2(1312, 3).
event1(1716, 1).
event2(674, 2).
event1(1680, 1).
event2(432, 2).
event1(1479, 0).
event2(178, 2).
event1(296, 0).
event2(459, 3).
event1(102, 1).
event2(375, 2).
event1(838, 1).
event2(254, 3).
event1(1489, 0).
event2(444, 2).
event1(23, 1).
event2(198, 3).
event1(1548, 1).
event2(515, 2).
event1(1989, 1).
event2(1529, 3).
event1(510, 1).
event2(330, 3).
event1(435, 0).
event2(1881, 2).
event1(1796, 0).
event2(1218, 3).
event1(790, 0).
event2(1140, 2).
event1(1710, 1).
event2(1766, 2).
event1(1734, 1).
event2(157, 3).
event1(184, 1).
event2(1888, 2).
event1(105, 1).
event2(317, 2).
event1(870, 1).
event2(857, 3).
event1(34, 0).
event2(341, 3).
event1(1838, 1).
event2(1584, 2).
event1(1076, 0).
event2(1158, 3).
event1(1000, 0).
event2(1754, 2).
event1(450, 1).
event2(1047, 2).
event1(134, 1).
event2(1447, 2).
event1(533, 1).
event2(807, 2).
event1(315, 1).
event2(992, 3).
event1(997, 0).
event2(1341, 3).
event1(1590, 0).
event2(1427, 2).
event1(860, 0).
event2(893, 2).
event1(1605, 0).
event2(731, 3).
event1(1443, 0).
event2(856, 3).
event1(429, 0).
event2(1058, 2).
event1(818, 0).
event2(1175, 2).
event1(121, 0).
event2(546, 3).
event1(1625, 0).
event2(1436, 3).
event1(1394, 1).
event2(10, 3).
event1(205, 1).
event2(228, 3).
event1(889, 0).
event2(391, 2).
event1(67, 1).
event2(253, 2).
event1(1626, 0).
event2(1021, 3).
event1(1085, 1).
event2(811, 3).
event1(1387, 0).
event2(1862, 3).
event1(1701, 0).
event2(120, 2).
event1(1497, 1).
event2(591, 2).
event1(1945, 1).
event2(1561, 2).
event1(556, 1).
event2(844, 2).
event1(869, 0).
event2(233, 2).
event1(781, 0).
event2(1629, 2).
event1(662, 0).
event2(1249, 2).
event1(351, 1).
event2(1959, 3).
event1(1742, 0).
event2(1151, 3).
event1(269, 1).
event2(1711, 2).
event1(1179, 0).
event2(161, 2).
event1(1544, 1).
event2(1315, 3).
event1(75, 0).
event2(1068, 3).
event1(676, 1).
event2(1870, 3).
event1(779, 1).
event2(1609, 2).
event1(118, 0).
event2(318, 2).
event1(609, 1).
event2(107, 3).
event1(156, 0).
event2(696, 2).
event1(1131, 1).
event2(1096, 2).
event1(1822, 1).
event2(1800, 2).
event1(743, 0).
event2(1791, 3).
event1(1877, 0).
event2(555, 2).
event1(745, 0).
event2(588, 2).
event1(95, 0).
event2(646, 2).
event1(1123, 1).
event2(360, 2).
event1(406, 1).
event2(675, 3).
event1(526, 0).
event2(242, 3).
event1(542, 0).
event2(1662, 2).
event1(780, 1).
event2(548, 2).
event1(1535, 1).
event2(98, 3).
event1(59, 1).
event2(1908, 3).
event1(859, 0).
event2(716, 2).
event1(1640, 1).
event2(867, 3).
event1(455, 1).
event2(76, 2).
event1(1483, 1).
event2(1718, 3).
event1(618, 1).
event2(1880, 2).
event1(593, 1).
event2(1900, 2).
event1(1596, 0).
event2(909, 3).
event1(776, 0).
event2(281, 3).
event1(1454, 0).
event2(448, 2).
event1(1868, 0).
event2(378, 2).
event1(787, 0).
event2(308, 2).
event1(251, 1).
event2(975, 3).
event1(1600, 0).
event2(235, 3).
event1(99, 1).
event2(557, 3).
event1(1137, 0).
event2(1185, 3).
event1(108, 0).
event2(1449, 3).
event1(1200, 1).
event2(1385, 2).
event1(309, 1).
event2(1679, 2).
event1(1372, 0).
event2(1550, 2).
event1(1828, 0).
event2(1755, 2).
event1(1521, 1).
event2(1675, 3).
event1(200, 1).
event2(1510, 2).
event1(538, 1).
event2(1648, 2).
event1(959, 1).
event2(1336, 3).
event1(1128, 0).
event2(361, 3).
event1(1729, 0).
event2(1988, 2).
event1(712, 0).
event2(1034, 2).
event1(1665, 1).
event2(1531, 2).
event1(1512, 0).
event2(1201, 3).
event1(1310, 0).
event2(149, 3).
event1(1148, 1).
event2(643, 3).
event1(113, 1).
event2(400, 2).
event1(1368, 0).
event2(1756, 3).
event1(290, 1).
event2(1395, 2).
event1(941, 1).
event2(1883, 3).
event1(112, 1).
event2(1954, 2).
event1(1676, 1).
event2(1737, 3).
event1(1321, 1).
event2(673, 2).
event1(1230, 1).
event2(500, 3).
event1(24, 1).
event2(1053, 2).
event1(1654, 1).
event2(670, 3).
event1(1168, 0).
event2(1391, 2).
event1(1093, 0).
event2(953, 3).
event1(1769, 0).
event2(752, 3).
event1(1977, 1).
event2(1478, 2).
event1(1606, 0).
event2(1010, 2).
event1(825, 0).
event2(878, 3).
event1(466, 1).
event2(1330, 2).
event1(1450, 1).
event2(187, 2).
event1(345, 1).
event2(220, 2).
event1(224, 1).
event2(1809, 3).
event1(447, 1).
event2(1233, 3).
event1(1174, 1).
event2(568, 2).
event1(507, 1).
event2(25, 2).
event1(821, 1).
event2(365, 2).
event1(1029, 0).
event2(549, 3).
event1(1916, 0).
event2(713, 2).
event1(63, 0).
event2(327, 3).
event1(666, 0).
event2(1476, 3).
event1(1346, 0).
event2(1611, 3).
event1(1910, 1).
event2(1055, 3).
event1(1015, 0).
event2(1290, 3).
event1(1495, 0).
event2(255, 3).
event1(982, 1).
event2(262, 2).
event1(1471, 0).
event2(1143, 2).
event1(1517, 0).
event2(356, 3).
event1(1578, 0).
event2(1938, 3).
event1(358, 1).
event2(998, 3).
event1(1102, 0).
event2(1778, 3).
event1(1195, 0).
event2(1474, 3).
event1(491, 1).
event2(1183, 2).
event1(152, 1).
event2(135, 3).
event1(366, 1).
event2(381, 2).
event1(1349, 0).
event2(895, 3).
event1(246, 0).
event2(339, 2).
event1(1095, 1).
event2(581, 3).
event1(114, 0).
event2(789, 3).
event1(612, 0).
event2(1188, 2).
event1(1052, 1).
event2(213, 2).
event1(1697, 1).
event2(890, 3).
event1(1771, 0).
event2(1145, 3).
event1(1528, 1).
event2(385, 2).
event1(1209, 0).
event2(866, 2).
event1(1859, 1).
event2(30, 3).
event1(738, 1).
event2(1492, 2).
event1(871, 1).
event2(1397, 2).
event1(587, 1).
event2(1668, 3).
event1(508, 1).
event2(5, 2).
event1(399, 0).
event2(1549, 2).
event1(809, 1).
event2(1357, 3).
event1(1860, 1).
event2(1470, 3).
event1(232, 0).
event2(1722, 3).
event1(1915, 1).
event2(1011, 2).
event1(1681, 1).
event2(540, 3).
event1(128, 1).
event2(840, 3).
event1(833, 1).
event2(1074, 2).
event1(1018, 0).
event2(479, 3).
event1(248, 1).
event2(1843, 3).
event1(21, 0).
event2(1035, 3).
event1(957, 0).
event2(619, 2).
event1(711, 1).
event2(863, 2).
event1(1815, 1).
event2(650, 2).
event1(637, 1).
event2(1836, 3).
