event(953, 3).
event(406, 1).
event(989, 2).
event(1218, 3).
event(689, 0).
event(1727, 2).
event(181, 3).
event(1330, 2).
event(688, 2).
event(81, 0).
event(1609, 2).
event(1077, 3).
event(51, 0).
event(857, 3).
event(1872, 3).
event(1535, 1).
event(1837, 0).
event(1372, 0).
event(1711, 2).
event(840, 3).
event(416, 1).
event(1956, 0).
event(1668, 3).
event(873, 2).
event(40, 1).
event(1696, 1).
event(909, 3).
event(1843, 3).
event(169, 0).
event(206, 0).
event(105, 1).
event(1397, 2).
event(492, 1).
event(1907, 0).
event(1710, 1).
event(997, 0).
event(1155, 1).
event(1259, 1).
event(177, 1).
event(678, 1).
event(242, 3).
event(1700, 1).
event(1533, 3).
event(581, 3).
event(1805, 3).
event(1268, 0).
event(6, 1).
event(310, 1).
event(375, 2).
event(1881, 2).
event(28, 2).
event(507, 1).
